,Phy Data
0,2.18281
1,1.09143
2,1.7080000000000002
3,3.06559
4,2.04953
5,1.7078
6,2.22446
7,1.77469
8,2.02454
9,1.82462
10,1.13303
11,1.04973
12,2.0995100000000004
13,1.58305
14,2.2912
15,1.58305
16,1.80796
17,1.18301
18,1.80796
19,2.07452
20,1.90792
21,1.51621
22,1.58305
23,1.72466
24,1.61637
25,1.89126
26,2.6743300000000003
27,2.31589
28,1.2746400000000002
29,2.47436
30,1.69134
31,2.38273
32,2.33275
33,1.71638
34,1.6247
35,1.71638
36,1.30796
37,1.76636
38,1.18301
39,1.59138
40,1.59138
41,1.73299
42,1.84961
43,1.13303
44,1.4581
45,1.19134
46,1.7080000000000002
47,1.58305
48,1.95795
49,1.86627
50,1.81634
51,1.76636
52,1.71638
53,1.66635
54,1.67468
55,1.27464
56,1.93296
57,1.81629
58,1.76636
59,1.54973
60,1.81634
61,1.79963
62,1.86632
63,1.98289
64,2.40797
65,0.9165
66,1.80801
67,1.81634
68,1.71638
69,1.94129
70,2.44129
71,2.43296
72,1.55806
73,1.02474
74,1.54973
75,1.64136
76,2.22471
77,1.71638
78,1.83295
79,2.59123
80,1.93296
81,2.63288
82,1.0330700000000002
83,1.55806
84,1.95795
85,2.40797
86,2.21638
87,1.71638
88,1.49142
89,1.61637
90,1.71638
91,1.63303
92,1.71638
93,1.59138
94,1.32462
95,2.26636
96,1.5412
97,2.51606
98,2.9994
99,2.75783
100,2.21638
101,1.7829700000000002
102,1.09138
103,1.63308
104,1.59138
105,1.93296
106,1.63308
107,1.9579
108,1.00808
109,1.70805
110,1.72471
111,1.74132
112,1.60804
113,1.27464
114,1.84128
115,2.94069
116,1.08305
117,1.71638
118,1.04973
119,1.6913399999999998
120,2.7074
121,1.66635
122,1.24132
123,1.04973
124,3.065840000000001
125,1.12475
126,1.44124
127,2.6241
128,2.15782
129,2.27424
130,1.66635
131,1.59138
132,1.4581
133,2.39944
134,1.47456
135,1.68301
136,1.60804
137,2.0829000000000004
138,1.50808
139,1.92463
140,2.88253
141,1.89106
142,2.4741600000000004
143,1.86612
144,1.78297
145,1.76636
146,1.71638
147,1.63308
148,1.708
149,1.72466
150,1.08305
151,1.96628
152,1.58305
153,1.04973
154,1.08305
155,1.10804
156,1.7829700000000002
157,1.73299
158,1.66635
159,1.27464
160,1.2829700000000002
161,1.71638
162,1.72466
163,1.6913399999999998
164,1.50808
165,1.54973
166,1.82462
167,2.14116
168,2.0829000000000004
169,1.93271
170,1.1663499999999998
171,1.81634
172,1.84128
173,1.7080000000000002
174,2.03292
175,1.74132
176,1.85799
177,1.63303
178,1.93291
179,1.83295
180,1.86632
181,1.71638
182,1.42458
183,1.70805
184,1.13303
185,2.17448
186,2.03287
187,1.73299
188,1.59138
189,1.89126
190,1.23299
191,1.59956
192,1.7080000000000002
193,2.49107
194,1.80781
195,2.24945
196,3.06584
197,1.94957
198,2.01621
199,1.9163
200,1.63303
201,1.08305
202,1.58305
203,1.08305
204,0.99142
205,1.58305
206,1.82462
207,1.73299
208,1.41625
209,1.6913399999999998
210,1.80801
211,1.83295
212,1.71638
213,1.63308
214,1.59138
215,1.7829700000000002
216,1.00808
217,1.09138
218,1.99935
219,1.71638
220,2.18306
221,1.80796
222,2.3080100000000003
223,2.19932
224,2.17473
225,2.20805
226,1.49142
227,2.3827800000000003
228,2.44129
229,2.44129
230,2.64126
231,1.93296
232,2.43296
233,2.26636
234,1.93296
235,2.65787
236,2.35799
237,1.58305
238,2.20805
239,2.21638
240,1.23299
241,1.50808
242,1.59138
243,1.00808
244,1.68286
245,1.50808
246,1.09138
247,0.99142
248,1.58305
249,1.50808
250,0.98309
251,1.59138
252,1.58305
253,1.6913399999999998
254,1.74132
255,1.94129
256,1.6247
257,1.66635
258,1.54973
259,1.7913
260,1.91625
261,2.01621
262,1.81634
263,1.91625
264,1.91625
265,1.72466
266,1.39126
267,1.73299
268,2.1161700000000003
269,1.74965
270,2.22446
271,1.80796
272,2.00788
273,1.6913399999999998
274,1.64949
275,1.76631
276,1.56639
277,1.89964
278,1.74132
279,1.58305
280,1.6913399999999998
281,1.98289
282,1.80796
283,2.6074400000000004
284,1.2829700000000002
285,2.7907
286,1.40792
287,1.71638
288,1.74132
289,1.6247
290,1.22466
291,1.81629
292,1.6663499999999998
293,1.98294
294,2.5493299999999994
295,2.54913
296,1.22466
297,1.7080000000000002
298,1.90792
299,1.7913
300,1.72466
301,1.95795
302,1.6913399999999998
303,1.89126
304,1.6913399999999998
305,1.19134
306,1.94129
307,1.68301
308,1.27464
309,1.74132
310,1.70805
311,1.93296
312,1.83295
313,0.95805
314,1.60804
315,1.89126
316,1.63303
317,1.76631
318,1.76636
319,1.71613
320,1.6580199999999998
321,1.84961
322,1.74132
323,2.19932
324,1.81629
325,1.69967
326,1.64136
327,1.70805
328,1.73299
329,1.58305
330,1.65787
331,1.19134
332,1.59138
333,1.59138
334,1.69967
335,1.69967
336,1.54973
337,1.63303
338,1.58305
339,1.59138
340,1.58305
341,1.50808
342,1.94129
343,1.4581
344,1.4581
345,1.18301
346,1.54973
347,1.64136
348,1.79963
349,1.80796
350,1.5412
351,1.76631
352,1.34961
353,1.70805
354,1.35794
355,2.0829
356,2.17448
357,1.90772
358,1.44957
359,1.66635
360,1.9163
361,1.68286
362,1.6913399999999998
363,2.04958
364,2.69932
365,1.13303
366,1.83295
367,1.91625
368,1.90792
369,2.2493
370,1.41625
371,1.66635
372,2.92423
373,2.33275
374,1.54953
375,1.74132
376,1.52474
377,1.91625
378,1.71638
379,1.63303
380,1.81634
381,2.04125
382,1.24965
383,1.6913399999999998
384,1.93291
385,1.71638
386,2.29928
387,2.11617
388,1.9996
389,1.94129
390,1.6578199999999998
391,1.68301
392,1.00808
393,1.63303
394,1.91625
395,2.03292
396,1.56639
397,1.71638
398,1.82462
399,0.9664299999999998
400,2.24945
401,2.01621
402,1.93291
403,1.86632
404,1.6913399999999998
405,1.90797
406,2.2244600000000005
407,1.03307
408,1.08305
409,2.50753
410,1.4579
411,1.9826900000000005
412,1.77464
413,2.19947
414,1.9579
415,1.7913
416,2.05786
417,2.17448
418,1.84961
419,1.85799
420,1.79135
421,1.93291
422,2.32442
423,1.59138
424,1.7913
425,2.28277
426,1.90797
427,2.17448
428,1.7080000000000002
429,2.33275
430,1.19134
431,2.67433
432,1.0330700000000002
433,1.5580599999999998
434,1.7080000000000002
435,1.84961
436,1.41625
437,1.5578600000000002
438,1.7913
439,2.38258
440,1.74965
441,1.44957
442,1.81629
443,1.8744
444,1.80801
445,1.13303
446,1.59138
447,1.5580599999999998
448,2.01621
449,1.73299
450,0.99975
451,1.7497
452,1.64116
453,2.31614
454,1.91625
455,1.85799
456,1.22466
457,2.0410500000000003
458,1.09138
459,2.69119
460,2.21638
461,2.21638
462,2.5829000000000004
463,2.13308
464,1.98294
465,1.9161
466,2.77449
467,1.59138
468,2.23304
469,0.8581399999999999
470,1.8746
471,2.48294
472,2.03292
473,1.71638
474,2.21638
475,1.68301
476,2.20765
477,2.26636
478,2.21638
479,2.35799
480,2.44962
481,2.30801
482,1.4079199999999998
483,1.59138
484,1.98294
485,1.71638
486,2.21638
487,1.98294
488,1.63303
489,2.40772
490,1.42458
491,1.23299
492,1.9579
493,2.03287
494,1.9579
495,1.18301
496,2.94084
497,2.30776
498,1.24965
499,1.19134
500,2.01621
501,2.47421
502,2.23284
503,1.7078000000000002
504,1.65782
505,1.73299
506,1.73299
507,1.71638
508,2.04125
509,1.52454
510,1.98294
511,2.20765
512,1.74965
513,1.99127
514,2.14121
515,2.47421
516,1.19134
517,1.6913399999999998
518,1.84961
519,1.6913399999999998
520,2.13288
521,0.99975
522,2.20765
523,1.32462
524,1.2913
525,1.89964
526,1.73299
527,1.97456
528,1.8746
529,2.44922
530,1.76631
531,1.79968
532,1.81634
533,1.84961
534,1.71638
535,1.81634
536,1.80796
537,1.58305
538,2.03292
539,1.58305
540,1.69947
541,1.68301
542,1.63303
543,1.73299
544,2.6658
545,2.01621
546,2.09951
547,2.47421
548,1.76631
549,0.9581
550,1.50808
551,2.53252
552,2.03292
553,1.7080000000000002
554,1.55786
555,1.7913
556,2.13288
557,1.42458
558,1.64969
559,1.81634
560,1.09138
561,1.50808
562,1.71638
563,1.73299
564,1.13303
565,1.09971
566,1.8163400000000005
567,1.27464
568,1.75803
569,1.83295
570,2.33275
571,1.4581
572,1.98294
573,1.61617
574,1.89126
575,1.59138
576,2.07452
577,1.19134
578,1.73299
579,1.85799
580,1.6913399999999998
581,1.89126
582,1.80796
583,2.04125
584,1.05806
585,1.04973
586,1.81614
587,1.09138
588,1.73299
589,1.05806
590,2.0495300000000007
591,2.29928
592,2.12435
593,1.64969
594,1.84961
595,1.73299
596,1.71638
597,1.80801
598,1.73304
599,1.9163
600,1.73299
601,1.71613
602,1.76636
603,1.50808
604,1.83295
605,1.68301
606,1.7080000000000002
607,2.041
608,2.2911
609,1.73299
610,1.89101
611,2.0412
612,1.84966
613,2.5327200000000003
614,1.81629
615,2.72411
616,1.48294
617,2.47436
618,1.8746
619,1.60804
620,1.60804
621,1.63303
622,1.68301
623,2.49087
624,1.59138
625,1.33295
626,1.1164199999999995
627,2.29943
628,1.98289
629,1.19972
630,1.66635
631,1.47456
632,1.10804
633,1.90792
634,1.2080000000000002
635,1.77444
636,1.6913399999999998
637,1.10804
638,1.59971
639,1.6913399999999998
640,1.68301
641,1.8746
642,1.81609
643,1.6913399999999998
644,1.7080000000000002
645,1.17468
646,1.27464
647,1.6913399999999998
648,2.31614
649,1.7913
650,1.76631
651,2.07452
652,1.7913
653,2.19952
654,1.89964
655,1.74965
656,1.7080000000000002
657,1.6913399999999998
658,1.18301
659,1.7913
660,1.23299
661,1.7913
662,2.35754
663,1.65782
664,1.6913399999999998
665,2.24945
666,2.21618
667,1.68301
668,1.3995900000000003
669,2.17453
670,1.83295
671,2.42423
672,1.64969
673,2.06619
674,2.8823800000000004
675,2.1826600000000003
676,1.87465
677,2.38283
678,2.03292
679,2.03292
680,2.14121
681,1.49142
682,1.50808
683,1.6913399999999998
684,1.59138
685,1.81634
686,1.94129
687,1.04973
688,1.31629
689,0.99142
690,1.0330700000000002
691,1.7913
692,1.59138
693,1.63303
694,2.9158500000000003
695,2.46603
696,2.04125
697,1.89126
698,1.11642
699,1.65787
700,2.21593
701,2.4077200000000003
702,2.79923
703,1.23299
704,1.74965
705,1.93291
706,2.15782
707,1.83295
708,2.47436
709,2.79923
710,2.38253
711,2.2911
712,1.09138
713,1.89126
714,1.60784
715,3.08225
716,2.83235
717,1.0330700000000002
718,1.89964
719,2.03292
720,1.64136
721,1.2913
722,2.03287
723,1.76636
724,1.82462
725,1.7913
726,1.2913
727,1.6913399999999998
728,1.8746
729,1.6913399999999998
730,1.61637
731,1.2913
732,1.6913399999999998
733,1.92458
734,2.04953
735,2.00788
736,1.23299
737,1.73304
738,1.7913
739,1.9079200000000005
740,1.74965
741,1.97456
742,1.63303
743,2.30776
744,2.02454
745,2.07452
746,1.59118
747,2.16615
748,1.76636
749,2.09951
750,1.6913399999999998
751,1.73299
752,2.36592
753,1.53307
754,2.51586
755,1.59138
756,0.94977
757,1.63303
758,2.03292
759,1.71638
760,1.74112
761,1.94129
762,1.69947
763,2.44922
764,2.11617
765,2.25763
766,1.74965
767,2.64096
768,3.0408
769,1.59971
770,2.04125
771,1.48309
772,2.27469
773,2.26596
774,1.71638
775,2.21638
776,2.3745
777,1.0330700000000002
778,2.21638
779,2.45795
780,1.75798
781,1.89964
782,1.81634
783,1.96608
784,1.04973
785,1.98294
786,2.59123
787,1.59138
788,1.98294
789,1.23299
790,2.35799
791,0.90812
792,2.53292
793,1.81634
794,1.81634
795,1.71638
796,1.53307
797,1.71638
798,1.81634
799,1.89964
800,2.09143
801,1.81634
802,1.73299
803,1.68301
804,1.59138
805,1.6830599999999998
806,1.60804
807,1.04973
808,2.43256
809,1.17468
810,1.84128
811,1.69967
812,1.81634
813,1.68301
814,1.89959
815,1.74132
816,1.6913399999999998
817,1.1247
818,1.13303
819,1.85794
820,1.19134
821,1.00808
822,1.80796
823,2.38283
824,1.59138
