,MCS UL
0,14.0
1,14.666666666666666
2,23.0
3,14.5
4,16.75
5,9.5
6,19.0
7,10.0
8,20.125
9,20.0
10,14.5
11,10.0
12,10.5
13,14.0
14,14.666666666666666
15,19.166666666666668
16,16.25
17,22.0
18,22.0
19,11.0
20,22.0
21,23.666666666666668
22,13.166666666666666
23,10.0
24,21.0
25,14.333333333333334
26,10.0
27,10.5
28,17.5
29,10.0
30,10.5
31,10.5
32,22.5
33,21.0
34,10.0
35,10.0
36,15.666666666666666
37,15.666666666666666
38,11.0
39,11.0
40,10.5
41,10.5
42,14.333333333333334
43,16.0
44,10.5
45,10.5
46,15.333333333333334
47,11.0
48,11.0
49,21.0
50,10.5
51,22.0
52,9.333333333333334
53,11.0
54,11.5
55,5.75
56,11.0
57,15.75
58,11.5
59,17.5
60,19.2
61,16.666666666666668
62,24.0
63,24.0
64,20.0
65,18.0
66,18.0
67,26.5
68,27.0
69,12.5
70,22.0
71,25.0
72,26.0
73,20.0
74,15.333333333333334
75,11.5
76,9.0
77,22.75
78,17.666666666666668
79,25.5
80,16.666666666666668
81,12.0
82,12.0
83,21.857142857142858
84,16.0
85,14.666666666666666
86,15.666666666666666
87,18.25
88,18.25
89,14.666666666666666
90,16.0
91,11.5
92,16.666666666666668
93,11.5
94,16.0
95,17.0
96,11.0
97,12.0
98,16.0
99,19.285714285714285
100,18.142857142857142
101,18.75
102,24.0
103,16.666666666666668
104,18.5
105,11.5
106,18.25
107,27.0
108,26.0
109,15.25
110,18.84210526315789
111,11.0
112,22.33333333333333
113,11.5
114,24.0
115,12.0
116,24.0
117,23.0
118,24.0
119,23.0
120,24.33333333333333
121,24.33333333333333
122,24.0
123,24.0
124,18.25
125,25.0
126,17.0
127,25.0
128,17.333333333333332
129,13.0
130,12.0
131,18.0
132,26.5
133,10.666666666666666
134,13.5
135,27.0
136,12.0
137,26.33333333333333
138,7.333333333333333
139,23.0
140,15.666666666666666
141,24.8
142,22.0
143,23.0
144,11.0
145,23.0
146,20.0
147,24.33333333333333
148,22.0
149,14.666666666666666
150,24.8
151,22.0
152,23.0
153,23.0
154,15.333333333333334
155,18.25
156,21.33333333333333
157,22.0
158,13.0
159,16.666666666666668
160,25.5
161,26.0
162,19.5
163,26.0
164,25.0
165,27.0
166,27.0
167,26.0
168,16.666666666666668
169,21.2
170,25.25
171,12.5
172,25.5
173,25.666666666666668
174,26.0
175,17.333333333333332
176,26.33333333333333
177,26.33333333333333
178,12.5
179,20.4
180,27.0
181,16.6
182,21.571428571428573
183,25.666666666666668
184,18.25
185,23.33333333333333
186,12.0
187,10.333333333333334
188,16.75
189,17.285714285714285
190,18.0
191,18.5
192,14.666666666666666
193,12.0
194,11.0
195,15.333333333333334
196,19.0
197,24.0
198,15.333333333333334
199,16.666666666666668
200,16.666666666666668
201,16.0
202,18.285714285714285
203,14.666666666666666
204,12.5
205,9.0
206,8.5
207,9.0
208,9.0
209,19.0
210,7.0
211,9.5
212,9.5
213,9.5
214,9.5
215,9.5
216,9.5
217,9.5
218,8.5
219,19.0
220,9.5
221,19.0
222,19.0
223,19.0
224,9.5
225,20.0
226,20.0
227,19.0
228,21.0
229,20.0
230,21.0
231,18.0
232,20.0
233,23.0
234,16.142857142857142
235,10.5
236,16.5
237,20.0
238,7.0
239,13.333333333333334
240,20.0
241,13.333333333333334
242,14.0
243,21.0
244,17.428571428571427
245,13.5
246,9.8
247,20.0
248,10.5
249,13.333333333333334
250,11.0
251,21.33333333333333
252,14.666666666666666
253,16.25
254,8.666666666666666
255,17.8
256,16.0
257,16.25
258,15.333333333333334
259,14.333333333333334
260,15.333333333333334
261,19.0
262,22.33333333333333
263,23.33333333333333
264,11.5
265,15.333333333333334
266,19.6
267,16.0
268,12.0
269,15.333333333333334
270,11.0
271,16.0
272,24.0
273,15.333333333333334
274,18.25
275,11.5
276,11.5
277,15.333333333333334
278,14.666666666666666
279,17.75
280,17.333333333333332
281,12.5
282,16.666666666666668
283,23.6
284,12.666666666666666
285,23.0
286,15.333333333333334
287,11.5
288,23.666666666666668
289,16.0
290,15.666666666666666
291,16.0
292,15.333333333333334
293,17.0
294,12.0
295,14.2
296,20.83333333333333
297,12.0
298,16.666666666666668
299,22.0
300,22.0
301,14.666666666666666
302,16.0
303,24.0
304,12.5
305,18.75
306,23.0
307,15.333333333333334
308,18.0
309,14.666666666666666
310,11.0
311,21.0
312,14.666666666666666
313,13.333333333333334
314,17.0
315,21.666666666666668
316,17.5
317,15.0
318,15.333333333333334
319,15.333333333333334
320,14.666666666666666
321,16.0
322,18.25
323,15.333333333333334
324,7.666666666666667
325,11.0
326,19.0
327,9.6
328,20.5
329,13.0
330,23.0
331,27.0
332,26.0
333,27.0
334,27.0
335,20.0
336,18.0
337,27.0
338,18.0
339,17.333333333333332
340,13.5
341,13.5
342,26.0
343,20.25
344,27.0
345,25.0
346,27.0
347,19.75
348,12.5
349,24.5
350,13.333333333333334
351,7.0
352,10.5
353,22.0
354,14.0
355,20.0
356,23.666666666666668
357,23.0
358,23.0
359,25.5
360,15.333333333333334
361,15.333333333333334
362,23.0
363,15.333333333333334
364,22.0
365,22.0
366,23.0
367,21.0
368,11.5
369,23.0
370,23.0
371,24.0
372,21.0
373,7.333333333333333
374,18.25
375,23.0
376,22.0
377,23.0
378,16.5
379,11.5
380,9.375
381,23.625
382,18.0
383,22.6
384,13.5
385,21.4
386,20.142857142857142
387,14.0
388,20.0
389,11.5
390,18.25
391,14.2
392,17.22222222222222
393,11.5
394,12.25
395,17.333333333333332
396,11.5
397,15.0
398,21.0
399,19.25
400,23.9
401,13.25
402,18.0
403,19.25
404,12.0
405,16.666666666666668
406,11.818181818181818
407,10.0
408,11.0
409,11.25
410,11.5
411,11.5
412,10.5
413,11.5
414,7.333333333333333
415,10.0
416,11.25
417,10.5
418,15.666666666666666
419,12.5
420,25.0
421,9.8
422,7.666666666666667
423,7.0
424,11.0
425,12.5
426,8.333333333333334
427,25.0
428,12.0
429,12.0
430,12.5
431,8.333333333333334
432,8.333333333333334
433,8.333333333333334
434,13.0
435,26.5
436,9.0
437,13.0
438,13.5
439,8.666666666666666
440,17.666666666666668
441,9.0
442,14.333333333333334
443,20.166666666666668
444,13.5
445,23.0
446,22.0
447,14.8
448,16.666666666666668
449,13.0
450,12.0
451,15.4
452,17.5
453,18.0
454,19.25
455,20.25
456,13.0
457,8.666666666666666
458,15.4
459,8.666666666666666
460,27.0
461,15.4
462,13.25
463,13.25
464,13.5
465,17.666666666666668
466,18.0
467,13.5
468,18.0
469,13.25
470,26.33333333333333
471,26.0
472,8.666666666666666
473,20.0
474,12.5
475,16.2
476,20.0
477,16.666666666666668
478,12.5
479,26.0
480,12.0
481,14.0
482,8.333333333333334
483,13.0
484,12.5
485,7.0
486,13.0
487,21.0
488,6.333333333333333
489,21.0
490,18.818181818181817
491,14.666666666666666
492,20.33333333333333
493,10.5
494,17.75
495,16.75
496,19.666666666666668
497,11.5
498,12.0
499,23.0
500,23.0
501,11.0
502,7.666666666666667
503,12.5
504,23.33333333333333
505,12.0
506,13.0
507,13.0
508,18.75
509,7.666666666666667
510,23.0
511,25.0
512,12.5
513,18.75
514,16.0
515,17.333333333333332
516,13.0
517,10.2
518,16.166666666666668
519,7.0
520,14.0
521,11.5
522,12.0
523,13.333333333333334
524,14.666666666666666
525,12.8
526,21.0
527,6.0
528,14.2
529,17.8
530,21.0
531,11.0
532,14.666666666666666
533,11.0
534,18.75
535,16.0
536,14.6
537,20.0
538,8.0
539,14.666666666666666
540,16.666666666666668
541,13.0
542,25.0
543,11.5
544,16.666666666666668
545,15.0
546,14.4
547,24.0
548,12.0
549,13.555555555555555
550,13.2
551,22.0
552,21.666666666666668
553,10.5
554,11.0
555,15.333333333333334
556,23.33333333333333
557,11.0
558,11.5
559,14.666666666666666
560,17.5
561,23.0
562,16.0
563,7.666666666666667
564,15.333333333333334
565,25.0
566,25.666666666666668
567,12.0
568,19.75
569,26.33333333333333
570,8.333333333333334
571,18.75
572,26.33333333333333
573,20.0
574,19.25
575,11.75
576,12.5
577,16.8
578,22.166666666666668
579,13.5
580,6.5
581,18.0
582,13.5
583,9.5
584,13.0
585,8.666666666666666
586,10.4
587,6.25
588,7.0
589,6.5
590,1.0
591,11.583333333333334
592,10.285714285714286
593,9.25
594,9.333333333333334
595,10.5
596,14.0
597,6.0
598,6.0
599,6.0
600,6.0
601,6.0
602,6.0
603,4.0
604,4.0
605,5.0
606,5.0
607,11.5
608,6.0
609,12.666666666666666
610,7.4
611,12.0
612,14.75
613,7.625
614,5.571428571428571
615,12.0
616,12.0
617,20.8
618,12.0
619,9.875
620,10.333333333333334
621,4.5
622,10.5
623,13.142857142857142
624,17.25
625,13.333333333333334
626,14.0
627,11.0
628,21.0
629,12.8
630,16.5
631,19.2
632,24.0
633,13.333333333333334
634,12.4
635,20.666666666666668
636,22.33333333333333
637,12.5
638,19.77777777777778
639,21.0
640,12.0
641,13.4
642,10.5
643,5.5
644,7.0
645,4.333333333333333
646,20.0
647,13.6
648,15.75
649,9.0
650,5.714285714285714
651,15.428571428571429
652,18.33333333333333
653,7.0
654,13.8
655,16.5
656,12.5
657,26.0
658,14.0
659,13.714285714285714
660,19.8
661,14.0
662,17.666666666666668
663,25.0
664,25.0
665,18.5
666,18.5
667,8.666666666666666
668,21.666666666666668
669,18.0
670,18.0
671,18.0
672,12.666666666666666
673,14.0
674,14.0
675,13.333333333333334
676,13.333333333333334
677,6.666666666666667
678,17.5
679,15.75
680,13.333333333333334
681,24.5
682,10.5
683,16.0
684,14.6
685,14.0
686,9.333333333333334
687,9.75
688,11.0
689,10.5
690,9.1
691,10.5
692,8.5
693,5.0
694,14.333333333333334
695,10.5
696,10.0
697,10.5
698,14.5
699,10.5
700,18.33333333333333
701,7.0
702,13.333333333333334
703,11.5
704,20.33333333333333
705,14.4
706,14.0
707,15.5
708,17.0
709,17.0
710,11.5
711,15.166666666666666
712,17.75
713,7.333333333333333
714,11.142857142857142
715,8.0
716,20.0
717,11.0
718,10.5
719,5.5
720,9.5
721,6.333333333333333
722,9.8
723,7.0
724,20.4
725,7.0
726,7.0
727,10.25
728,22.0
729,20.0
730,15.333333333333334
731,22.0
732,6.666666666666667
733,11.0
734,14.666666666666666
735,14.0
736,22.0
737,23.0
738,9.0
739,8.5
740,20.0
741,14.666666666666666
742,11.0
743,21.0
744,15.0
745,16.25
746,12.0
747,20.0
748,7.333333333333333
749,14.666666666666666
750,14.666666666666666
751,11.5
752,16.5
753,16.5
754,11.0
755,7.333333333333333
756,14.0
757,23.0
758,15.333333333333334
759,15.333333333333334
760,14.666666666666666
761,16.666666666666668
762,24.33333333333333
763,15.333333333333334
764,24.0
765,25.0
766,8.333333333333334
767,22.0
768,11.0
769,7.666666666666667
770,7.666666666666667
771,12.0
772,17.571428571428573
773,11.5
774,10.0
775,11.0
776,12.0
777,15.333333333333334
778,17.0
779,11.5
780,15.333333333333334
781,14.666666666666666
782,12.25
783,16.666666666666668
784,11.5
785,15.0
786,11.5
787,18.75
788,8.333333333333334
789,12.5
790,16.666666666666668
791,16.666666666666668
792,14.0
793,18.0
794,25.0
795,14.8
796,18.0
797,14.666666666666666
798,18.15384615384616
799,13.0
800,20.5
801,15.333333333333334
802,12.0
803,23.0
804,11.5
805,11.5
806,12.0
807,11.0
808,11.5
809,12.0
810,12.0
811,7.666666666666667
812,7.333333333333333
813,12.5
814,16.666666666666668
815,8.0
816,16.666666666666668
817,8.333333333333334
818,23.0
819,8.333333333333334
820,7.0
821,12.5
822,13.5
823,12.25
824,24.0
825,8.666666666666666
826,8.333333333333334
827,8.0
828,12.0
829,7.75
830,13.0
831,11.0
832,8.333333333333334
833,6.333333333333333
834,10.5
835,20.5
836,10.5
837,10.0
838,21.5
839,11.0
840,14.0
841,7.333333333333333
842,10.5
843,14.666666666666666
844,16.166666666666668
845,13.0
846,11.0
847,14.6
848,15.333333333333334
849,11.5
850,14.666666666666666
851,10.5
852,13.4
853,15.333333333333334
854,14.88888888888889
855,14.4
856,15.333333333333334
857,12.8
858,14.666666666666666
859,12.5
860,8.0
861,9.571428571428571
862,12.666666666666666
863,6.0
864,10.0
